# average_velocity_axis_0_t_inf,95CLI,us/u_eta,surftimeconst/t_eta,proportion,omegamax * t_eta,reacttime/t_eta
1.101457571042765704e-01,1.628141739103035335e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000278e-02
9.019803697999724534e-02,1.631124732992682638e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000278e-02
3.709684344620185759e-02,1.612817324889532708e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01,5.000000000000000000e-01
5.781363313354852262e-02,1.652137831022847808e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01,5.000000000000000000e-01
7.203336400864052136e-02,1.637524534691850095e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01
9.772361963513556682e-02,1.639770734801318866e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01
9.838004070128497647e-02,1.635968607792748566e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e-01
9.188538771639628844e-02,1.650307513966073336e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e-01
8.576560595271866261e-02,1.627530062463125246e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e-01
2.671555317138432986e-02,1.643945809460068894e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,1.250000000000000000e-01,1.000000000000000000e+00
5.808323554131655103e-02,1.656171266862983479e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01,1.000000000000000000e+00
7.563853483040972048e-02,1.667641976993489844e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00
8.676723575311273695e-02,1.652809984518697692e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.758977870173731417e-02,1.651506579106336303e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00
7.578107833487948697e-02,1.630026524345797728e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00
9.936390669563452405e-02,1.660945131124806975e-02,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00
